,AcidRed87-1gL,MethyleneB-250mgL,NaCl,NaOH-1M,PCAT_Gee-T/M/W,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,Target
226,0.25,0.25,0.0,0.0,1.0,4.78,1.0,0.75,0.75,57.4484488204183
227,0.25,0.0,0.0,0.0,0.5,4.01,0.5,0.5,0.0,60.2823606101652
228,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,35.0199868613826
229,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,34.5698408209775
230,0.25,0.25,0.0,0.0,0.5,4.47,0.75,0.5,0.0,15.5201074611197
231,0.25,0.0,0.0,0.0,0.5,4.15,0.5,0.5,0.0,59.4360758169386
232,1.0,0.0,0.0,0.0,4.0,4.94,0.0,0.0,0.0,35.3057738487493
233,1.0,0.0,0.0,0.0,4.0,4.98,0.0,0.0,0.0,34.2614724455357
234,0.5,0.0,0.0,0.0,0.25,3.55,0.75,0.5,0.5,39.8617701620713
235,0.25,0.25,0.0,0.0,0.75,4.6,0.5,0.75,0.5,56.5243131034444
236,0.25,0.0,0.0,0.0,0.25,3.62,0.75,0.75,0.75,49.8333674729091
237,0.25,3.0,0.0,0.0,0.25,3.97,0.25,0.25,0.0,19.6615928797045
238,0.25,0.25,0.0,0.0,0.5,3.58,1.25,0.5,0.25,47.9361426437078
239,0.25,0.0,0.0,0.0,1.25,3.98,0.75,0.75,0.0,57.5307191505877
240,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,34.6033468459346
241,1.0,0.0,0.0,0.0,4.0,5.02,0.0,0.0,0.0,33.8031050544781
242,0.25,0.0,0.25,0.0,0.5,4.18,0.75,0.25,0.0,41.3745154702741
243,0.25,0.0,0.5,0.0,0.5,4.21,0.75,0.25,0.0,47.6988642175424
244,0.25,0.0,1.25,0.0,0.5,4.18,0.75,0.25,0.0,39.2466217599649
245,0.25,0.0,0.75,0.0,0.5,4.19,0.75,0.25,0.0,38.7842417196527
246,0.25,0.0,1.0,0.0,0.5,4.21,0.75,0.25,0.0,45.0642993348833
247,0.25,0.0,1.5,0.0,0.5,4.19,0.75,0.25,0.0,40.8877531610259
248,0.25,0.25,0.25,0.0,0.5,4.42,0.75,0.5,0.0,50.5041408715964
249,0.25,0.25,0.0,0.0,0.5,4.39,0.75,0.5,0.0,55.2339486705726
250,0.25,0.25,0.5,0.0,0.5,4.4,0.75,0.5,0.0,43.042385808344
251,0.25,0.25,0.75,0.0,0.5,4.4,0.75,0.5,0.0,37.4465707332121
252,0.5,0.5,0.25,0.0,0.25,3.8,0.75,0.75,0.0,42.7455813028454
253,0.25,3.0,0.0,0.0,0.25,3.99,0.5,0.0,0.0,0.998646686628442
254,0.25,0.0,0.25,0.0,0.5,4.17,0.75,0.5,0.0,60.1003633964205
255,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,36.4944669603942
256,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,35.6924146535865
257,0.25,0.0,0.0,0.0,0.5,4.19,0.5,0.5,0.0,21.1632525684898
258,0.25,0.0,0.5,0.0,0.5,4.2,0.5,0.5,0.0,52.9634963125325
259,0.25,0.0,1.0,0.0,0.5,4.19,0.5,0.5,0.0,46.3349443411053
260,0.25,0.0,0.75,0.0,0.5,4.17,0.5,0.5,0.0,49.8108838602084
261,0.25,0.0,1.25,0.0,0.5,4.17,0.5,0.5,0.0,42.313690795345
262,0.25,0.5,0.5,0.0,0.75,4.41,0.75,0.75,0.0,48.4849745286
263,0.5,0.25,1.0,0.0,0.25,3.79,1.0,0.25,0.75,28.9544665322229
264,0.25,0.0,1.75,0.0,0.5,4.18,0.5,0.5,0.0,41.1899946768237
265,0.25,0.0,1.5,0.0,0.5,4.17,0.5,0.5,0.0,41.0222054709187
266,0.25,0.25,0.5,0.0,0.75,2.8,0.5,0.75,0.25,20.5065125919798
267,0.25,0.25,1.25,0.0,0.5,4.39,0.75,0.5,0.0,35.4683019243532
268,0.25,0.0,0.75,0.0,0.5,4.17,0.75,0.5,0.0,55.4095171403464
269,0.25,0.0,1.0,0.0,0.5,4.19,0.75,0.5,0.0,55.3374215964058
270,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,36.0244269652784
271,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,35.4586124174563
272,0.25,0.0,0.0,0.0,0.5,4.19,0.75,0.5,0.25,21.3348558750048
273,0.25,0.0,0.25,0.0,0.5,4.21,0.75,0.5,0.25,54.9016205161804
274,0.25,0.0,0.5,0.0,0.5,4.21,0.75,0.5,0.25,50.9363243958535
275,0.25,0.0,0.75,0.0,0.5,4.17,0.75,0.5,0.25,45.9611097090709
276,0.25,0.0,0.0,0.0,0.5,4.21,0.75,0.5,0.5,58.926733204703
277,0.25,0.0,0.5,0.0,0.5,4.18,0.75,0.5,0.5,51.4628387207263
278,0.25,0.0,0.25,0.0,0.5,4.21,0.75,0.5,0.5,57.4904348323394
279,0.25,0.0,1.0,0.0,0.5,4.21,0.75,0.5,0.5,44.9452877680023
280,0.25,0.0,0.75,0.0,0.5,4.18,0.75,0.5,0.5,49.6531758607496
281,0.25,0.0,1.5,0.0,0.5,4.18,0.75,0.5,0.5,35.1633431645353
282,0.5,0.0,1.0,0.0,0.5,3.92,0.5,0.75,0.5,43.3352737012728
283,0.5,0.0,0.0,0.0,0.5,3.78,0.5,0.5,0.25,59.1731572314615
284,0.5,0.0,0.25,0.0,0.5,3.8,0.5,0.5,0.25,56.941782642627
285,1.0,0.0,0.0,0.0,4.0,4.96,0.0,0.0,0.0,36.5157856623251
286,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,35.3135976561403
287,0.5,0.0,1.25,0.0,0.5,3.8,0.5,0.5,0.25,22.1541350011385
288,0.5,0.0,1.5,0.0,0.5,3.77,0.5,0.5,0.25,32.5874768409052
289,0.5,0.0,1.0,0.0,0.5,3.78,0.5,0.5,0.25,31.986831772047
290,0.25,0.0,1.75,0.0,0.5,4.18,0.75,0.5,0.5,34.1002063091892
291,0.5,0.0,0.75,0.0,0.5,3.79,0.5,0.5,0.25,34.6494577425769
292,0.5,0.0,0.25,0.0,0.25,3.81,0.5,0.5,0.25,50.4893969319787
293,0.5,0.0,0.0,0.0,0.25,3.92,0.5,0.5,0.25,56.4657487724763
294,0.5,0.0,0.5,0.0,0.25,3.76,0.5,0.5,0.25,49.8152366225513
295,0.5,0.0,0.75,0.0,0.25,3.78,0.5,0.5,0.25,49.2256840136675
